State,FIPS,County,Longitude,Latitude,happening,human
AL,1001,Autauga,–86.644490,32.536382,58.996,43.458
AL,1003,Baldwin,–87.746067,30.659218,59.902,42.224
AL,1005,Barbour,–85.405456,31.87067,67.735,49.059
AL,1007,Bibb,–87.127148,33.015893,58.421,41.923
AL,1009,Blount,–86.567246,33.977448,55.893,42.595
AL,1011,Bullock,–85.717261,32.101759,73.726,53.986
AL,1013,Butler,–86.681969,31.751667,64.727,46.627
AL,1015,Calhoun,–85.822513,33.771706,61.761,46.307
AL,1017,Chambers,–85.391812,32.917943,65.726,47.207
AL,1019,Cherokee,–85.654242,34.069515,56.144,41.028
AL,1021,Chilton,–86.726628,32.85406,56.781,41.889
AL,1023,Choctaw,–88.248887,31.991008,66.624,48.76
AL,1025,Clarke,–87.818624,31.685521,63.089,44.992
AL,1027,Clay,–85.862051,33.267809,59.644,43.736
AL,1029,Cleburne,–85.516109,33.671981,58.923,43.771
AL,1031,Coffee,–85.989201,31.402183,59.516,42.176
AL,1033,Colbert,–87.801457,34.703112,61.944,45.575
AL,1035,Conecuh,–86.992029,31.428293,64.64,49.325
AL,1037,Coosa,–86.243482,32.931445,62.343,45.031
AL,1039,Covington,–86.448721,31.243987,59.868,43.773
AL,1041,Crenshaw,–86.319222,31.732826,60.899,43.916
AL,1043,Cullman,–86.869267,34.131923,53.261,40.101
AL,1045,Dale,–85.609476,31.430654,62.005,45.546
AL,1047,Dallas,–87.114356,32.33354,74.272,55.022
AL,1049,DeKalb,–85.803992,34.460929,59.108,44.245
AL,1051,Elmore,–86.142739,32.597229,58.584,42.892
AL,1053,Escambia,–87.168429,31.121748,61.129,44.948
AL,1055,Etowah,–86.034420,34.047638,58.888,43.07
AL,1057,Fayette,–87.752049,33.732249,57.162,41.648
AL,1059,Franklin,–87.842815,34.441988,60.694,45.418
AL,1061,Geneva,–85.824346,31.090866,56.745,41.13
AL,1063,Greene,–87.964201,32.844497,72.609,51.645
AL,1065,Hale,–87.623061,32.752796,67.678,49.468
AL,1067,Henry,–85.239971,31.516978,61.294,44.2
AL,1069,Houston,–85.296398,31.158193,60.475,43.885
AL,1071,Jackson,–85.977400,34.763522,55.32,41.107
AL,1073,Jefferson,–86.896536,33.553444,66.662,49.723
AL,1075,Lamar,–88.087431,33.787085,56.85,41.332
AL,1077,Lauderdale,–87.650997,34.904122,61.928,46.94
AL,1079,Lawrence,–87.321865,34.529776,58.78,43.707
AL,1081,Lee,–85.353048,32.604064,66.386,47.591
AL,1083,Limestone,–86.981400,34.810239,56.355,44.2
AL,1085,Lowndes,–86.650586,32.147888,71.407,51.295
AL,1087,Macon,–85.692887,32.387027,75.106,54.212
AL,1089,Madison,–86.551080,34.764238,66.062,50.421
AL,1091,Marengo,–87.791091,32.247591,67.773,47.307
AL,1093,Marion,–87.881551,34.138219,57.321,42.501
AL,1095,Marshall,–86.321668,34.309564,58.906,43.693
AL,1097,Mobile,–88.196568,30.684573,63.822,47.716
AL,1099,Monroe,–87.383266,31.580332,63.661,46.467
AL,1101,Montgomery,–86.203831,32.203651,71.876,53.208
AL,1103,Morgan,–86.846402,34.454484,60.196,43.972
AL,1105,Perry,–87.293827,32.639005,71.703,51.403
AL,1107,Pickens,–88.096878,33.296809,64.586,45.511
AL,1109,Pike,–85.941997,31.798726,64.736,46.905
AL,1111,Randolph,–85.464068,33.296475,62.006,44.497
AL,1113,Russell,–85.186980,32.289811,68.774,50.776
AL,1115,St. Clair,–86.315663,33.712963,57.351,41.273
AL,1117,Shelby,–86.678104,33.262937,60.021,44.025
AL,1119,Sumter,–88.200057,32.597481,72.022,51.416
AL,1121,Talladega,–86.175805,33.369277,63.678,46.577
AL,1123,Tallapoosa,–85.799553,32.863369,64.792,47.298
AL,1125,Tuscaloosa,–87.522860,33.290202,64.318,45.408
AL,1127,Walker,–87.301092,33.791571,53.155,40.154
AL,1129,Washington,–88.202078,31.406974,55.354,40.692
AL,1131,Wilcox,–87.302205,31.99033,71.508,51.918
AL,1133,Winston,–87.364147,34.155888,54.121,39.567
AK,2013,Aleutians East,–161.950749,55.243722,70.926,52.126
AK,2016,Aleutians West [4],178.338813,51.959447,70.282,51.715
AK,2020,Anchorage,–149.274354,61.177549,70.817,52.472
AK,2050,Bethel [4],–160.153350,60.928916,71.107,52.932
AK,2060,Bristol Bay,–156.986612,58.731373,67.688,48.845
AK,2068,Denali,–150.026719,63.682732,65.821,48.692
AK,2070,Dillingham [4],–158.602233,59.824816,70.248,51.271
AK,2090,Fairbanks North Star,–146.599867,64.690832,66.419,48.749
AK,2100,Haines,–135.578102,59.099905,69.814,50.352
AK,2105,Hoonah-Angoon [4],–135.185100,58.076434,71.456,52.772
AK,2110,Juneau,–134.178781,58.3727,71.215,52.709
AK,2122,Kenai Peninsula,–152.321973,60.366373,66.869,48.182
AK,2130,Ketchikan Gateway,–131.106685,55.449938,70.601,51.791
AK,2150,Kodiak Island,–153.630911,57.553611,71.553,53.212
AK,2164,Lake and Peninsula,–156.705188,58.205065,71.148,52.915
AK,2170,Matanuska-Susitna,–149.407974,62.182174,66.205,48.656
AK,2180,Nome [4],–164.188912,64.783686,69.857,50.74
AK,2185,North Slope,–153.472830,69.449343,68.317,49.312
AK,2188,Northwest Arctic,–160.021086,67.005066,72.358,54.935
AK,2195,Petersburg [4],–133.527996,56.639612,70.07,50.845
AK,2198,Prince of Wales-Hyder [4],–132.875734,55.415683,69.757,50.81
AK,2220,Sitka,–135.332624,57.142509,72.71,53.749
AK,2230,Skagway,–135.335418,59.575097,70.928,52.157
AK,2240,Southeast Fairbanks [4],–143.218628,63.864997,67.807,48.653
AK,2261,Valdez-Cordova [4],–145.023141,61.34984,68.171,49.422
AK,2270,Wade Hampton [4],–163.190950,62.283174,69.615,51.052
AK,2275,Wrangell,–132.040326,56.279121,68.897,49.913
AK,2282,Yakutat,–140.239593,59.999083,69.658,50.61
AK,2290,Yukon-Koyukuk [4],–151.576855,65.376131,70.018,51.524
AZ,4001,Apache,–109.493747,35.385845,68.804,53.118
AZ,4003,Cochise,–109.754120,31.881793,66.286,50.349
AZ,4005,Coconino,–111.773728,35.829692,72.308,56.998
AZ,4007,Gila,–110.811870,33.789618,65.759,48.298
AZ,4009,Graham,–109.878310,32.931828,65.758,47.963
AZ,4011,Greenlee,–109.242323,33.238872,68.554,52.086
AZ,4012,La Paz,–114.038793,33.727625,65.154,47.987
AZ,4013,Maricopa,–112.495534,33.346541,69.126,52.071
AZ,4015,Mohave,–113.749689,35.717705,61.315,45.584
AZ,4017,Navajo,–110.320908,35.390934,67.828,50.918
AZ,4019,Pima,–111.783018,32.128237,75.194,58.125
AZ,4021,Pinal,–111.367257,32.91891,68.998,50.039
AZ,4023,Santa Cruz,–110.845190,31.525904,76.678,60.914
AZ,4025,Yavapai,–112.573745,34.630044,65.263,49.863
AZ,4027,Yuma,–113.910905,32.773942,67.929,53.259
AR,5001,Arkansas,–91.376547,34.289574,63.016,45.625
AR,5003,Ashley,–91.772267,33.190835,61.908,44.393
AR,5005,Baxter,–92.330438,36.28071,61.165,43.841
AR,5007,Benton,–94.256187,36.337825,63.232,45.616
AR,5009,Boone,–93.079204,36.304308,58.131,42.21
AR,5011,Bradley,–92.168164,33.463819,67.758,50.708
AR,5013,Calhoun,–92.513879,33.56046,58.658,42.054
AR,5015,Carroll,–93.541663,36.337774,64.926,49.375
AR,5017,Chicot,–91.297158,33.267139,71.701,53.402
AR,5019,Clark,–93.176205,34.053312,67.658,49.065
AR,5021,Clay,–90.418704,36.367302,61.292,44.232
AR,5023,Cleburne,–92.059974,35.566288,58.691,42.014
AR,5025,Cleveland,–92.188714,33.893201,58.936,42.402
AR,5027,Columbia,–93.226901,33.21507,63.12,45.222
AR,5029,Conway,–92.689248,35.265702,64.881,48.994
