GEOID,happening,human
1001,58.996,43.458
1003,59.902,42.224
1005,67.735,49.059
1007,58.421,41.923
1009,55.893,42.595
1011,73.726,53.986
1013,64.727,46.627
1015,61.761,46.307
1017,65.726,47.207
1019,56.144,41.028
1021,56.781,41.889
1023,66.624,48.76
1025,63.089,44.992
1027,59.644,43.736
1029,58.923,43.771
1031,59.516,42.176
1033,61.944,45.575
1035,64.64,49.325
1037,62.343,45.031
1039,59.868,43.773
1041,60.899,43.916
1043,53.261,40.101
1045,62.005,45.546
1047,74.272,55.022
1049,59.108,44.245
1051,58.584,42.892
1053,61.129,44.948
1055,58.888,43.07
1057,57.162,41.648
1059,60.694,45.418
1061,56.745,41.13
1063,72.609,51.645
1065,67.678,49.468
1067,61.294,44.2
1069,60.475,43.885
1071,55.32,41.107
1073,66.662,49.723
1075,56.85,41.332
1077,61.928,46.94
1079,58.78,43.707
1081,66.386,47.591
1083,56.355,44.2
1085,71.407,51.295
1087,75.106,54.212
1089,66.062,50.421
1091,67.773,47.307
1093,57.321,42.501
1095,58.906,43.693
1097,63.822,47.716
1099,63.661,46.467
1101,71.876,53.208
1103,60.196,43.972
1105,71.703,51.403
1107,64.586,45.511
1109,64.736,46.905
1111,62.006,44.497
1113,68.774,50.776
1115,57.351,41.273
1117,60.021,44.025
1119,72.022,51.416
1121,63.678,46.577
1123,64.792,47.298
1125,64.318,45.408
1127,53.155,40.154
1129,55.354,40.692
1131,71.508,51.918
1133,54.121,39.567
2013,70.926,52.126
2016,70.282,51.715
2020,70.817,52.472
2050,71.107,52.932
2060,67.688,48.845
2068,65.821,48.692
2070,70.248,51.271
2090,66.419,48.749
2100,69.814,50.352
2105,71.456,52.772
2110,71.215,52.709
2122,66.869,48.182
2130,70.601,51.791
2150,71.553,53.212
2164,71.148,52.915
2170,66.205,48.656
2180,69.857,50.74
2185,68.317,49.312
2188,72.358,54.935
2195,70.07,50.845
2198,69.757,50.81
2220,72.71,53.749
2230,70.928,52.157
2240,67.807,48.653
2261,68.171,49.422
2270,69.615,51.052
2275,68.897,49.913
2282,69.658,50.61
2290,70.018,51.524
4001,68.804,53.118
4003,66.286,50.349
4005,72.308,56.998
4007,65.759,48.298
4009,65.758,47.963
4011,68.554,52.086
4012,65.154,47.987
4013,69.126,52.071
4015,61.315,45.584
4017,67.828,50.918
4019,75.194,58.125
4021,68.998,50.039
4023,76.678,60.914
4025,65.263,49.863
4027,67.929,53.259
5001,63.016,45.625
5003,61.908,44.393
5005,61.165,43.841
5007,63.232,45.616
5009,58.131,42.21
5011,67.758,50.708
5013,58.658,42.054
5015,64.926,49.375
5017,71.701,53.402
5019,67.658,49.065
5021,61.292,44.232
5023,58.691,42.014
5025,58.936,42.402
5027,63.12,45.222
5029,64.881,48.994
5031,62.834,47.806
5033,58.025,42.5
5035,68.53,49.304
5037,65.813,48.967
5039,66.417,47.284
5041,67.52,48.707
5043,65.834,47.656
5045,63.921,47.66
5047,60.019,43.731
5049,62.635,46.53
5051,65.078,47.359
5053,58.152,43.209
5055,58.972,44.6
5057,63.568,46.007
5059,58.998,43.847
5061,66.865,49.309
5063,52.468,40.072
5065,61.173,45.121
5067,61.117,45.389
5069,68.376,51.051
5071,61.607,45.762
5073,64.756,47.035
5075,63.638,47.911
5077,71.766,51.677
5079,66.927,50.384
5081,61.361,43.9
5083,59.783,43.726
5085,59.967,43.626
5087,63.164,47.683
5089,60.864,44.47
5091,62.678,46.428
5093,67.968,48.869
5095,67.608,48.509
5097,60.711,44.878
5099,61.922,44.626
5101,62.722,46.185
5103,66.49,47.24
5105,62.174,45.927
5107,70.887,52.096
5109,59.085,42.853
5111,59.272,43.343
5113,57.858,41.832
5115,60.32,44.314
5117,59.826,43.49
5119,72.438,55.13
5121,60.865,44.78
5123,69.451,50.952
5125,60.47,43.836
5127,62.567,46.131
5129,58.132,42.322
5131,63.187,46.455
5133,64.264,47.491
5135,60.243,43.918
5137,63.705,47.077
5139,61.103,44.532
5141,60.712,45.053
5143,67.697,50.37
5145,59.268,42.693
5147,64.833,47.734
5149,61.433,45.081
6001,84.035,68.365
6003,74.682,55.86
